name;                   iops;mbps;vCPUs;tempDiskGiB;vmFamily
Standard_M32ms_v2;      20000; 500;  32;0;      standardMSMediumMemoryv2Family
Standard_M64s_v2;       40000;1000;  64;0;      standardMSMediumMemoryv2Family
Standard_M64ms_v2;      40000;1000;  64;0;      standardMSMediumMemoryv2Family
Standard_M128s_v2;      80000;2000; 128;0;      standardMSMediumMemoryv2Family
Standard_M128ms_v2;     80000;2000; 128;0;      standardMSMediumMemoryv2Family
Standard_M32dms_v2;     20000;500;   32;1024;   standardMDSMediumMemoryv2Family
Standard_M64ds_v2;      40000;1000;  64;2048;   standardMDSMediumMemoryv2Family
Standard_M64dms_v2;     40000;1000;  64;2048;   standardMDSMediumMemoryv2Family
Standard_M128ds_v2;     80000;2000; 128;4096;   standardMDSMediumMemoryv2Family
Standard_M128dms_v2;    80000;2000; 128;4096;   standardMDSMediumMemoryv2Family
Standard_M192is_v2;     80000;2000; 192;0;      standardMISMediumMemoryv2Family
Standard_M192ims_v2;    80000;2000; 192;0;      standardMISMediumMemoryv2Family
Standard_M192ids_v2;    80000;2000; 192;4096;   standardMIDSMediumMemoryv2Family
Standard_M192idms_v2;   80000;2000; 192;4096;   standardMIDSMediumMemoryv2Family
Standard_M208s_v2;      40000;1000; 208;4096;   standardMSv2Family
Standard_M208ms_v2;     40000;1000; 208;4096;   standardMSv2Family
Standard_M416s_v2;      80000;2000; 416;8192;   standardMSv2Family
Standard_M416s_8_v2;    80000;2000; 416;4096;   standardMSv2Family
Standard_M416ms_v2;     80000;2000; 416;8192;   standardMSv2Family
Standard_M12s_v3;       16250;390;   12;0;      standardMSMediumMemoryv3Family  
Standard_M24s_v3;       32500;780;   24;0;      standardMSMediumMemoryv3Family
Standard_M48s_1_v3;     65000;1560;  48;0;      standardMSMediumMemoryv3Family
Standard_M96s_1_v3;     65000;1560;  96;0;      standardMSMediumMemoryv3Family
Standard_M96s_2_v3;    130000;3120;  96;0;      standardMSMediumMemoryv3Family
Standard_M176s_3_v3;   130000;4000; 176;0;      standardMSMediumMemoryv3Family
Standard_M176s_4_v3;   130000;4000; 176;0;      standardMSMediumMemoryv3Family
Standard_M12ds_v3;      16250;390;   12;400;    standardMDSMediumMemoryv3Family
Standard_M24ds_v3;      32500;780;   24;400;    standardMDSMediumMemoryv3Family
Standard_M48ds_1_v3;    65000;1560;  48;400;    standardMDSMediumMemoryv3Family
Standard_M96ds_1_v3;    65000;1560;  96;400;    standardMDSMediumMemoryv3Family
Standard_M96ds_2_v3;   130000;3120;  96;400;    standardMDSMediumMemoryv3Family
Standard_M176ds_3_v3;  130000;4000; 176;400;    standardMDSMediumMemoryv3Family
Standard_M176ds_4_v3;  130000;4000; 176;400;    standardMDSMediumMemoryv3Family
Standard_M416s_6_v3;   130000;4000; 416;0;      standardMSHighMemoryv3Family
Standard_M416s_8_v3;   130000;4000; 416;0;      standardMSHighMemoryv3Family
Standard_M624s_12_v3;  130000;4000; 624;0;      standardMSHighMemoryv3Family
Standard_M832s_12_v3;  130000;4000; 832;0;      standardMSHighMemoryv3Family
Standard_M416ds_6_v3;  130000;4000; 416;400;    standardMDSHighMemoryv3Family
Standard_M416ds_8_v3;  130000;4000; 416;400;    standardMDSHighMemoryv3Family
Standard_M624ds_12_v3; 130000;4000; 624;400;    standardMDSHighMemoryv3Family
Standard_M832ds_12_v3; 130000;4000; 832;400;    standardMDSHighMemoryv3Family
Standard_M832is_16_v3; 130000;8000; 832;0;      standardMISHighMemoryv3Family
Standard_M832ids_16_v3;130000;8000; 832;400;    standardMIDSHighMemoryv3Family
